Year,US science spending,Suicides
2010,17079,5319.25521916888
2011,17594,5480.299989437267
2012,20753,6468.145483180633
2013,21734,6774.912317420026
2014,21831,6805.245021723004
2015,24029,7492.577847062643
2016,24597,7670.196156795543
2017,24584,7666.1309490023605
2018,26525,8273.097743353697
